id,from_essence_type,from_id,to_essence_type,sum_of_money,comment,to_id
486,f,486,f,"$6,402.96",its donate from user with id = 486,486
487,f,487,f,"$2,104.91",its donate from user with id = 487,977
488,f,488,f,"$1,710.80",its donate from user with id = 488,996
489,f,489,f,"$8,515.62",its donate from user with id = 489,968
490,f,490,f,"$7,540.80",its donate from user with id = 490,193
491,f,491,f,"$5,502.10",its donate from user with id = 491,912
492,f,492,f,"$5,394.49",its donate from user with id = 492,857
493,f,493,f,"$7,927.22",its donate from user with id = 493,204
494,f,494,f,"$7,367.40",its donate from user with id = 494,46
495,f,495,f,"$3,404.30",its donate from user with id = 495,516
496,f,496,f,"$4,060.37",its donate from user with id = 496,736
497,f,497,f,"$6,648.05",its donate from user with id = 497,383
498,f,498,f,$654.04,its donate from user with id = 498,203
499,f,499,f,"$8,612.74",its donate from user with id = 499,278
500,f,500,f,"$3,716.39",its donate from user with id = 500,59
501,f,501,f,"$9,690.10",its donate from user with id = 501,834
502,f,502,f,"$9,613.06",its donate from user with id = 502,110
503,f,503,f,"$6,402.38",its donate from user with id = 503,973
504,f,504,f,"$2,151.79",its donate from user with id = 504,889
505,f,505,f,"$4,385.76",its donate from user with id = 505,715
506,f,506,f,"$1,505.41",its donate from user with id = 506,897
507,f,507,f,"$9,070.95",its donate from user with id = 507,896
508,f,508,f,"$9,003.14",its donate from user with id = 508,787
509,f,509,f,"$4,814.39",its donate from user with id = 509,177
510,f,510,f,"$8,704.97",its donate from user with id = 510,533
511,f,511,f,"$8,422.32",its donate from user with id = 511,286
512,f,512,f,$430.66,its donate from user with id = 512,820
513,f,513,f,"$2,127.20",its donate from user with id = 513,641
514,f,514,f,"$2,204.76",its donate from user with id = 514,479
515,f,515,f,"$3,490.87",its donate from user with id = 515,640
516,f,516,f,"$2,852.41",its donate from user with id = 516,670
517,f,517,f,"$7,807.11",its donate from user with id = 517,664
518,f,518,f,"$1,014.71",its donate from user with id = 518,159
519,f,519,f,"$8,645.59",its donate from user with id = 519,565
520,f,520,f,"$1,574.26",its donate from user with id = 520,350
521,f,521,f,"$3,442.22",its donate from user with id = 521,707
522,f,522,f,"$2,583.29",its donate from user with id = 522,63
523,f,523,f,$632.01,its donate from user with id = 523,938
524,f,524,f,"$8,583.61",its donate from user with id = 524,347
525,f,525,f,"$7,203.20",its donate from user with id = 525,668
526,f,526,f,"$6,623.86",its donate from user with id = 526,823
527,f,527,f,"$9,559.65",its donate from user with id = 527,58
528,f,528,f,"$1,907.59",its donate from user with id = 528,150
529,f,529,f,"$8,814.15",its donate from user with id = 529,853
530,f,530,f,"$1,707.15",its donate from user with id = 530,652
531,f,531,f,"$3,265.70",its donate from user with id = 531,406
532,f,532,f,$125.53,its donate from user with id = 532,501
533,f,533,f,"$3,927.71",its donate from user with id = 533,188
534,f,534,f,"$4,249.25",its donate from user with id = 534,503
535,f,535,f,"$2,163.47",its donate from user with id = 535,145
536,f,536,f,"$6,401.56",its donate from user with id = 536,774
537,f,537,f,"$9,855.05",its donate from user with id = 537,420
538,f,538,f,"$1,858.27",its donate from user with id = 538,494
539,f,539,f,"$3,798.60",its donate from user with id = 539,165
540,f,540,f,"$7,040.47",its donate from user with id = 540,222
541,f,541,f,"$6,518.38",its donate from user with id = 541,149
542,f,542,f,"$4,387.27",its donate from user with id = 542,152
543,f,543,f,"$1,988.35",its donate from user with id = 543,343
544,f,544,f,"$1,065.82",its donate from user with id = 544,72
545,f,545,f,"$2,784.81",its donate from user with id = 545,360
546,f,546,f,"$2,067.33",its donate from user with id = 546,985
547,f,547,f,$759.22,its donate from user with id = 547,538
548,f,548,f,"$7,177.24",its donate from user with id = 548,104
549,f,549,f,"$7,410.87",its donate from user with id = 549,928
550,f,550,f,"$7,480.48",its donate from user with id = 550,171
551,f,551,f,"$9,277.32",its donate from user with id = 551,682
552,f,552,f,"$5,812.26",its donate from user with id = 552,475
553,f,553,f,"$6,852.87",its donate from user with id = 553,122
554,f,554,f,"$1,399.86",its donate from user with id = 554,590
555,f,555,f,"$9,532.52",its donate from user with id = 555,509
556,f,556,f,"$3,257.27",its donate from user with id = 556,505
557,f,557,f,"$7,718.63",its donate from user with id = 557,437
558,f,558,f,"$7,050.37",its donate from user with id = 558,799
559,f,559,f,"$6,478.36",its donate from user with id = 559,871
560,f,560,f,"$3,592.01",its donate from user with id = 560,153
561,f,561,f,"$6,637.66",its donate from user with id = 561,301
562,f,562,f,"$1,054.24",its donate from user with id = 562,367
563,f,563,f,"$8,432.06",its donate from user with id = 563,665
564,f,564,f,$145.06,its donate from user with id = 564,30
565,f,565,f,"$9,440.60",its donate from user with id = 565,61
566,f,566,f,$915.12,its donate from user with id = 566,88
567,f,567,f,"$8,793.80",its donate from user with id = 567,978
568,f,568,f,"$1,080.35",its donate from user with id = 568,772
569,f,569,f,"$9,617.24",its donate from user with id = 569,523
570,f,570,f,"$3,417.63",its donate from user with id = 570,757
571,f,571,f,"$1,839.53",its donate from user with id = 571,596
572,f,572,f,"$6,379.28",its donate from user with id = 572,67
573,f,573,f,"$1,424.30",its donate from user with id = 573,96
574,f,574,f,"$1,353.18",its donate from user with id = 574,746
575,f,575,f,"$8,528.15",its donate from user with id = 575,636
576,f,576,f,"$1,093.19",its donate from user with id = 576,246
577,f,577,f,"$7,189.31",its donate from user with id = 577,760
578,f,578,f,"$7,602.31",its donate from user with id = 578,554
579,f,579,f,"$2,808.04",its donate from user with id = 579,264
580,f,580,f,"$4,720.68",its donate from user with id = 580,359
581,f,581,f,"$4,410.85",its donate from user with id = 581,465
582,f,582,f,"$4,796.57",its donate from user with id = 582,257
583,f,583,f,"$9,748.11",its donate from user with id = 583,694
584,f,584,f,"$7,821.60",its donate from user with id = 584,771
585,f,585,f,"$2,636.69",its donate from user with id = 585,317
586,f,586,f,"$6,443.20",its donate from user with id = 586,300
587,f,587,f,"$3,879.15",its donate from user with id = 587,766
588,f,588,f,"$2,587.78",its donate from user with id = 588,254
589,f,589,f,"$1,678.35",its donate from user with id = 589,64
590,f,590,f,"$6,463.68",its donate from user with id = 590,496
591,f,591,f,"$1,651.55",its donate from user with id = 591,911
592,f,592,f,"$2,089.82",its donate from user with id = 592,579
593,f,593,f,"$8,098.61",its donate from user with id = 593,26
594,f,594,f,"$4,956.86",its donate from user with id = 594,638
595,f,595,f,"$7,455.39",its donate from user with id = 595,433
596,f,596,f,"$2,692.81",its donate from user with id = 596,578
597,f,597,f,"$9,181.55",its donate from user with id = 597,232
598,f,598,f,"$8,723.33",its donate from user with id = 598,634
599,f,599,f,$322.72,its donate from user with id = 599,345
600,f,600,f,"$8,922.68",its donate from user with id = 600,717
601,f,601,f,"$9,774.50",its donate from user with id = 601,424
602,f,602,f,"$5,943.64",its donate from user with id = 602,626
603,f,603,f,$127.42,its donate from user with id = 603,992
604,f,604,f,"$2,171.54",its donate from user with id = 604,478
605,f,605,f,"$1,528.04",its donate from user with id = 605,78
606,f,606,f,"$4,090.27",its donate from user with id = 606,265
607,f,607,f,"$4,799.83",its donate from user with id = 607,729
608,f,608,f,"$3,466.25",its donate from user with id = 608,762
609,f,609,f,"$9,410.65",its donate from user with id = 609,895
610,f,610,f,"$7,754.06",its donate from user with id = 610,592
611,f,611,f,$681.45,its donate from user with id = 611,304
612,f,612,f,"$5,763.49",its donate from user with id = 612,713
613,f,613,f,"$2,064.12",its donate from user with id = 613,812
614,f,614,f,$256.69,its donate from user with id = 614,695
615,f,615,f,"$4,267.23",its donate from user with id = 615,184
616,f,616,f,$676.93,its donate from user with id = 616,95
617,f,617,f,"$1,067.61",its donate from user with id = 617,893
618,f,618,f,"$3,257.51",its donate from user with id = 618,599
619,f,619,f,"$6,207.48",its donate from user with id = 619,356
620,f,620,f,"$9,587.31",its donate from user with id = 620,615
621,f,621,f,"$4,092.61",its donate from user with id = 621,882
622,f,622,f,"$3,615.86",its donate from user with id = 622,266
623,f,623,f,"$8,460.95",its donate from user with id = 623,458
624,f,624,f,"$3,577.70",its donate from user with id = 624,87
625,f,625,f,"$8,298.86",its donate from user with id = 625,351
626,f,626,f,"$7,030.36",its donate from user with id = 626,725
627,f,627,f,"$3,202.92",its donate from user with id = 627,784
628,f,628,f,"$6,793.91",its donate from user with id = 628,69
629,f,629,f,"$7,800.20",its donate from user with id = 629,617
630,f,630,f,"$2,956.91",its donate from user with id = 630,723
631,f,631,f,"$7,058.41",its donate from user with id = 631,937
632,f,632,f,"$9,517.86",its donate from user with id = 632,522
633,f,633,f,"$6,152.04",its donate from user with id = 633,80
634,f,634,f,"$8,200.93",its donate from user with id = 634,397
635,f,635,f,"$8,651.75",its donate from user with id = 635,307
636,f,636,f,"$5,132.58",its donate from user with id = 636,175
637,f,637,f,"$3,551.10",its donate from user with id = 637,36
638,f,638,f,$479.18,its donate from user with id = 638,806
639,f,639,f,"$3,475.06",its donate from user with id = 639,627
640,f,640,f,"$5,272.29",its donate from user with id = 640,848
641,f,641,f,"$5,486.59",its donate from user with id = 641,616
642,f,642,f,"$9,365.59",its donate from user with id = 642,107
643,f,643,f,"$7,081.21",its donate from user with id = 643,37
644,f,644,f,"$1,976.37",its donate from user with id = 644,869
645,f,645,f,"$5,061.73",its donate from user with id = 645,813
646,f,646,f,"$2,900.49",its donate from user with id = 646,677
647,f,647,f,"$2,830.46",its donate from user with id = 647,561
648,f,648,f,"$2,876.71",its donate from user with id = 648,138
649,f,649,f,"$1,283.24",its donate from user with id = 649,262
650,f,650,f,"$9,184.63",its donate from user with id = 650,803
651,f,651,f,"$3,822.21",its donate from user with id = 651,416
652,f,652,f,"$5,583.20",its donate from user with id = 652,249
653,f,653,f,"$7,212.08",its donate from user with id = 653,82
654,f,654,f,"$7,969.85",its donate from user with id = 654,92
655,f,655,f,"$3,527.60",its donate from user with id = 655,94
656,f,656,f,"$6,790.68",its donate from user with id = 656,462
657,f,657,f,"$4,951.73",its donate from user with id = 657,716
658,f,658,f,"$4,585.52",its donate from user with id = 658,607
659,f,659,f,"$1,435.10",its donate from user with id = 659,333
660,f,660,f,"$5,538.41",its donate from user with id = 660,318
661,f,661,f,$697.40,its donate from user with id = 661,1000
662,f,662,f,"$3,220.47",its donate from user with id = 662,49
663,f,663,f,"$5,484.34",its donate from user with id = 663,854
664,f,664,f,"$2,970.34",its donate from user with id = 664,628
665,f,665,f,"$7,357.15",its donate from user with id = 665,674
666,f,666,f,"$3,957.79",its donate from user with id = 666,271
667,f,667,f,"$1,476.75",its donate from user with id = 667,963
668,f,668,f,"$3,299.06",its donate from user with id = 668,595
669,f,669,f,"$4,489.66",its donate from user with id = 669,51
670,f,670,f,"$7,712.01",its donate from user with id = 670,106
671,f,671,f,"$1,045.17",its donate from user with id = 671,740
672,f,672,f,$946.71,its donate from user with id = 672,218
673,f,673,f,"$3,206.43",its donate from user with id = 673,121
674,f,674,f,"$7,818.96",its donate from user with id = 674,517
675,f,675,f,"$4,999.49",its donate from user with id = 675,726
676,f,676,f,"$7,770.94",its donate from user with id = 676,613
677,f,677,f,"$6,259.04",its donate from user with id = 677,842
678,f,678,f,"$1,835.19",its donate from user with id = 678,212
679,f,679,f,"$4,620.88",its donate from user with id = 679,490
680,f,680,f,"$1,781.74",its donate from user with id = 680,415
681,f,681,f,"$2,713.00",its donate from user with id = 681,933
682,f,682,f,$120.57,its donate from user with id = 682,789
683,f,683,f,"$8,724.41",its donate from user with id = 683,166
684,f,684,f,"$2,731.04",its donate from user with id = 684,969
685,f,685,f,"$5,711.69",its donate from user with id = 685,473
686,f,686,f,"$5,403.46",its donate from user with id = 686,411
687,f,687,f,"$2,585.38",its donate from user with id = 687,672
688,f,688,f,"$5,559.58",its donate from user with id = 688,73
689,f,689,f,"$6,282.08",its donate from user with id = 689,432
690,f,690,f,"$8,085.12",its donate from user with id = 690,328
691,f,691,f,"$7,379.38",its donate from user with id = 691,874
692,f,692,f,"$1,015.66",its donate from user with id = 692,851
693,f,693,f,"$1,860.04",its donate from user with id = 693,455
694,f,694,f,"$6,541.66",its donate from user with id = 694,782
695,f,695,f,"$1,247.18",its donate from user with id = 695,396
696,f,696,f,"$1,036.58",its donate from user with id = 696,374
697,f,697,f,$131.50,its donate from user with id = 697,801
698,f,698,f,"$5,580.61",its donate from user with id = 698,482
699,f,699,f,$430.29,its donate from user with id = 699,105
700,f,700,f,"$7,984.94",its donate from user with id = 700,588
701,f,701,f,"$3,515.81",its donate from user with id = 701,219
702,f,702,f,"$1,067.90",its donate from user with id = 702,661
703,f,703,f,"$1,749.98",its donate from user with id = 703,976
704,f,704,f,"$6,752.94",its donate from user with id = 704,251
705,f,705,f,"$1,396.69",its donate from user with id = 705,625
706,f,706,f,$899.34,its donate from user with id = 706,210
707,f,707,f,"$9,894.81",its donate from user with id = 707,426
708,f,708,f,"$2,055.40",its donate from user with id = 708,117
709,f,709,f,$467.86,its donate from user with id = 709,481
710,f,710,f,"$1,057.52",its donate from user with id = 710,321
711,f,711,f,"$5,413.81",its donate from user with id = 711,658
712,f,712,f,"$6,898.87",its donate from user with id = 712,330
713,f,713,f,"$7,081.98",its donate from user with id = 713,431
714,f,714,f,"$5,637.93",its donate from user with id = 714,644
715,f,715,f,"$5,489.22",its donate from user with id = 715,925
716,f,716,f,"$1,285.78",its donate from user with id = 716,988
717,f,717,f,"$8,126.63",its donate from user with id = 717,346
718,f,718,f,"$4,308.54",its donate from user with id = 718,639
719,f,719,f,"$4,841.53",its donate from user with id = 719,657
720,f,720,f,"$3,321.02",its donate from user with id = 720,289
721,f,721,f,"$1,301.71",its donate from user with id = 721,604
722,f,722,f,"$8,372.85",its donate from user with id = 722,966
723,f,723,f,"$4,310.97",its donate from user with id = 723,600
724,f,724,f,"$1,080.91",its donate from user with id = 724,390
725,f,725,f,"$4,587.47",its donate from user with id = 725,98
726,f,726,f,"$6,478.19",its donate from user with id = 726,918
727,f,727,f,"$8,792.54",its donate from user with id = 727,358
728,f,728,f,"$8,735.22",its donate from user with id = 728,983
729,f,729,f,"$2,689.85",its donate from user with id = 729,506
730,f,730,f,"$4,590.30",its donate from user with id = 730,633
731,f,731,f,"$5,592.86",its donate from user with id = 731,667
732,f,732,f,"$5,269.20",its donate from user with id = 732,752
733,f,733,f,"$7,899.57",its donate from user with id = 733,227
734,f,734,f,"$8,653.66",its donate from user with id = 734,428
735,f,735,f,"$8,643.67",its donate from user with id = 735,751
736,f,736,f,"$3,788.19",its donate from user with id = 736,293
737,f,737,f,"$1,301.45",its donate from user with id = 737,666
738,f,738,f,"$6,843.93",its donate from user with id = 738,155
739,f,739,f,"$3,277.47",its donate from user with id = 739,312
740,f,740,f,"$1,813.48",its donate from user with id = 740,399
741,f,741,f,"$5,973.17",its donate from user with id = 741,706
742,f,742,f,"$2,639.83",its donate from user with id = 742,745
743,f,743,f,"$2,064.62",its donate from user with id = 743,654
744,f,744,f,$50.28,its donate from user with id = 744,91
745,f,745,f,"$2,674.08",its donate from user with id = 745,630
746,f,746,f,"$2,873.17",its donate from user with id = 746,391
747,f,747,f,"$5,739.87",its donate from user with id = 747,451
748,f,748,f,"$7,896.96",its donate from user with id = 748,44
749,f,749,f,"$8,816.02",its donate from user with id = 749,909
750,f,750,f,"$4,919.97",its donate from user with id = 750,669
751,f,751,f,"$1,017.13",its donate from user with id = 751,901
752,f,752,f,$445.91,its donate from user with id = 752,423
753,f,753,f,"$6,092.09",its donate from user with id = 753,783
754,f,754,f,"$9,932.55",its donate from user with id = 754,5
755,f,755,f,"$5,928.06",its donate from user with id = 755,536
756,f,756,f,"$2,840.55",its donate from user with id = 756,237
757,f,757,f,"$5,840.24",its donate from user with id = 757,402
758,f,758,f,"$5,183.51",its donate from user with id = 758,340
759,f,759,f,$557.49,its donate from user with id = 759,659
760,f,760,f,"$5,858.32",its donate from user with id = 760,778
761,f,761,f,"$2,353.18",its donate from user with id = 761,887
762,f,762,f,"$4,337.71",its donate from user with id = 762,618
763,f,763,f,"$4,106.18",its donate from user with id = 763,997
764,f,764,f,"$3,319.75",its donate from user with id = 764,632
765,f,765,f,"$6,313.71",its donate from user with id = 765,277
766,f,766,f,"$3,065.13",its donate from user with id = 766,916
767,f,767,f,"$4,573.59",its donate from user with id = 767,508
768,f,768,f,"$3,031.43",its donate from user with id = 768,408
769,f,769,f,"$9,082.67",its donate from user with id = 769,282
770,f,770,f,"$3,360.95",its donate from user with id = 770,29
771,f,771,f,"$7,751.77",its donate from user with id = 771,898
772,f,772,f,"$4,665.18",its donate from user with id = 772,355
773,f,773,f,"$8,457.97",its donate from user with id = 773,526
774,f,774,f,$15.46,its donate from user with id = 774,530
775,f,775,f,"$1,905.19",its donate from user with id = 775,240
776,f,776,f,"$3,592.19",its donate from user with id = 776,571
777,f,777,f,"$6,545.21",its donate from user with id = 777,519
778,f,778,f,"$1,327.76",its donate from user with id = 778,852
779,f,779,f,"$3,890.15",its donate from user with id = 779,551
780,f,780,f,"$9,856.29",its donate from user with id = 780,180
781,f,781,f,"$3,768.18",its donate from user with id = 781,679
782,f,782,f,"$2,000.64",its donate from user with id = 782,999
783,f,783,f,"$4,969.55",its donate from user with id = 783,915
784,f,784,f,"$8,408.42",its donate from user with id = 784,279
785,f,785,f,"$6,635.55",its donate from user with id = 785,344
786,f,786,f,"$8,018.66",its donate from user with id = 786,296
787,f,787,f,"$8,071.36",its donate from user with id = 787,862
788,f,788,f,"$7,055.22",its donate from user with id = 788,220
789,f,789,f,"$1,660.82",its donate from user with id = 789,764
790,f,790,f,"$1,476.35",its donate from user with id = 790,575
791,f,791,f,"$7,448.10",its donate from user with id = 791,135
792,f,792,f,"$9,924.85",its donate from user with id = 792,472
793,f,793,f,"$4,603.39",its donate from user with id = 793,395
794,f,794,f,"$1,227.48",its donate from user with id = 794,448
795,f,795,f,"$2,056.40",its donate from user with id = 795,143
796,f,796,f,"$8,653.31",its donate from user with id = 796,248
797,f,797,f,"$9,351.53",its donate from user with id = 797,758
798,f,798,f,$883.87,its donate from user with id = 798,41
799,f,799,f,"$9,679.06",its donate from user with id = 799,154
800,f,800,f,"$9,530.31",its donate from user with id = 800,905
801,f,801,f,"$5,812.74",its donate from user with id = 801,148
802,f,802,f,"$2,833.87",its donate from user with id = 802,495
803,f,803,f,"$9,521.60",its donate from user with id = 803,926
804,f,804,f,"$6,911.92",its donate from user with id = 804,394
805,f,805,f,"$9,928.50",its donate from user with id = 805,886
806,f,806,f,"$7,468.48",its donate from user with id = 806,18
807,f,807,f,"$6,046.91",its donate from user with id = 807,542
808,f,808,f,"$5,873.83",its donate from user with id = 808,126
809,f,809,f,"$4,386.08",its donate from user with id = 809,83
810,f,810,f,"$3,293.39",its donate from user with id = 810,948
811,f,811,f,"$7,131.97",its donate from user with id = 811,53
812,f,812,f,"$8,235.68",its donate from user with id = 812,477
813,f,813,f,"$2,200.82",its donate from user with id = 813,709
814,f,814,f,"$7,710.18",its donate from user with id = 814,712
815,f,815,f,"$1,950.85",its donate from user with id = 815,719
816,f,816,f,$838.08,its donate from user with id = 816,987
817,f,817,f,"$2,633.51",its donate from user with id = 817,698
818,f,818,f,"$5,864.30",its donate from user with id = 818,450
819,f,819,f,"$7,471.45",its donate from user with id = 819,873
820,f,820,f,"$8,015.07",its donate from user with id = 820,601
821,f,821,f,"$8,811.98",its donate from user with id = 821,258
822,f,822,f,"$6,386.72",its donate from user with id = 822,414
823,f,823,f,"$9,117.79",its donate from user with id = 823,65
824,f,824,f,"$9,234.21",its donate from user with id = 824,392
825,f,825,f,"$1,990.14",its donate from user with id = 825,294
826,f,826,f,$696.66,its donate from user with id = 826,112
827,f,827,f,"$8,218.05",its donate from user with id = 827,589
828,f,828,f,"$9,767.25",its donate from user with id = 828,206
829,f,829,f,$710.37,its donate from user with id = 829,560
830,f,830,f,$193.23,its donate from user with id = 830,101
831,f,831,f,"$5,804.62",its donate from user with id = 831,825
832,f,832,f,"$1,147.83",its donate from user with id = 832,961
833,f,833,f,"$1,290.35",its donate from user with id = 833,454
834,f,834,f,"$1,922.69",its donate from user with id = 834,861
835,f,835,f,"$2,210.08",its donate from user with id = 835,412
836,f,836,f,"$9,159.76",its donate from user with id = 836,951
837,f,837,f,"$4,519.67",its donate from user with id = 837,572
838,f,838,f,"$2,411.59",its donate from user with id = 838,678
839,f,839,f,"$9,197.23",its donate from user with id = 839,776
840,f,840,f,"$9,172.82",its donate from user with id = 840,790
841,f,841,f,"$9,988.10",its donate from user with id = 841,833
842,f,842,f,"$7,157.59",its donate from user with id = 842,512
843,f,843,f,"$9,204.89",its donate from user with id = 843,557
844,f,844,f,"$6,552.62",its donate from user with id = 844,223
845,f,845,f,"$9,117.99",its donate from user with id = 845,115
846,f,846,f,"$1,810.16",its donate from user with id = 846,728
847,f,847,f,"$6,374.68",its donate from user with id = 847,711
848,f,848,f,"$1,488.54",its donate from user with id = 848,798
849,f,849,f,"$9,313.49",its donate from user with id = 849,202
850,f,850,f,"$9,573.01",its donate from user with id = 850,113
851,f,851,f,"$5,898.61",its donate from user with id = 851,468
852,f,852,f,"$4,426.61",its donate from user with id = 852,306
853,f,853,f,"$6,615.71",its donate from user with id = 853,231
854,f,854,f,"$7,130.45",its donate from user with id = 854,921
855,f,855,f,"$8,994.06",its donate from user with id = 855,185
856,f,856,f,"$5,504.32",its donate from user with id = 856,174
857,f,857,f,"$1,864.73",its donate from user with id = 857,587
858,f,858,f,"$5,249.34",its donate from user with id = 858,944
859,f,859,f,"$9,656.08",its donate from user with id = 859,553
860,f,860,f,"$8,942.49",its donate from user with id = 860,338
861,f,861,f,"$8,323.88",its donate from user with id = 861,404
862,f,862,f,"$5,278.39",its donate from user with id = 862,876
863,f,863,f,"$4,144.15",its donate from user with id = 863,474
864,f,864,f,"$2,393.44",its donate from user with id = 864,899
865,f,865,f,"$6,501.15",its donate from user with id = 865,708
866,f,866,f,"$9,048.86",its donate from user with id = 866,880
867,f,867,f,"$7,022.52",its donate from user with id = 867,267
868,f,868,f,"$4,018.78",its donate from user with id = 868,835
869,f,869,f,"$1,462.51",its donate from user with id = 869,826
870,f,870,f,"$4,967.18",its donate from user with id = 870,731
871,f,871,f,"$5,604.05",its donate from user with id = 871,655
872,f,872,f,"$4,602.46",its donate from user with id = 872,539
873,f,873,f,"$4,925.01",its donate from user with id = 873,259
874,f,874,f,"$5,469.30",its donate from user with id = 874,714
875,f,875,f,"$2,670.55",its donate from user with id = 875,195
876,f,876,f,"$1,064.16",its donate from user with id = 876,447
877,f,877,f,"$2,939.73",its donate from user with id = 877,187
878,f,878,f,"$9,708.60",its donate from user with id = 878,342
879,f,879,f,"$8,597.71",its donate from user with id = 879,894
880,f,880,f,$154.97,its donate from user with id = 880,243
881,f,881,f,"$8,045.52",its donate from user with id = 881,780
882,f,882,f,"$1,645.95",its donate from user with id = 882,722
883,f,883,f,"$8,388.88",its donate from user with id = 883,868
884,f,884,f,"$6,033.13",its donate from user with id = 884,139
885,f,885,f,"$7,496.64",its donate from user with id = 885,775
886,f,886,f,"$8,137.26",its donate from user with id = 886,939
887,f,887,f,"$8,118.85",its donate from user with id = 887,989
888,f,888,f,"$1,494.05",its donate from user with id = 888,164
889,f,889,f,$667.57,its donate from user with id = 889,315
890,f,890,f,"$9,875.68",its donate from user with id = 890,12
891,f,891,f,"$8,617.76",its donate from user with id = 891,956
892,f,892,f,"$8,650.86",its donate from user with id = 892,606
893,f,893,f,"$9,880.11",its donate from user with id = 893,847
894,f,894,f,$573.57,its donate from user with id = 894,749
895,f,895,f,"$4,573.46",its donate from user with id = 895,27
896,f,896,f,"$2,066.22",its donate from user with id = 896,325
897,f,897,f,"$8,840.42",its donate from user with id = 897,269
898,f,898,f,"$7,409.94",its donate from user with id = 898,556
899,f,899,f,"$4,974.07",its donate from user with id = 899,718
900,f,900,f,$733.09,its donate from user with id = 900,936
901,f,901,f,"$7,735.44",its donate from user with id = 901,839
902,f,902,f,"$8,635.35",its donate from user with id = 902,43
903,f,903,f,"$7,562.19",its donate from user with id = 903,357
904,f,904,f,"$9,862.93",its donate from user with id = 904,90
905,f,905,f,"$7,232.43",its donate from user with id = 905,619
906,f,906,f,$834.12,its donate from user with id = 906,207
907,f,907,f,"$3,142.18",its donate from user with id = 907,650
908,f,908,f,"$4,131.58",its donate from user with id = 908,795
909,f,909,f,"$9,621.50",its donate from user with id = 909,529
910,f,910,f,"$1,115.40",its donate from user with id = 910,941
911,f,911,f,"$5,582.95",its donate from user with id = 911,305
912,f,912,f,$269.08,its donate from user with id = 912,17
913,f,913,f,"$4,934.39",its donate from user with id = 913,534
914,f,914,f,"$3,727.59",its donate from user with id = 914,4
915,f,915,f,"$2,763.05",its donate from user with id = 915,215
916,f,916,f,"$4,515.68",its donate from user with id = 916,25
917,f,917,f,"$3,251.68",its donate from user with id = 917,964
918,f,918,f,"$4,188.88",its donate from user with id = 918,405
919,f,919,f,"$1,237.36",its donate from user with id = 919,982
920,f,920,f,"$6,115.39",its donate from user with id = 920,910
921,f,921,f,$181.80,its donate from user with id = 921,850
922,f,922,f,"$5,779.15",its donate from user with id = 922,656
923,f,923,f,"$3,957.52",its donate from user with id = 923,167
924,f,924,f,"$2,815.28",its donate from user with id = 924,954
925,f,925,f,"$3,026.42",its donate from user with id = 925,190
926,f,926,f,"$1,277.20",its donate from user with id = 926,624
927,f,927,f,$695.89,its donate from user with id = 927,872
928,f,928,f,"$3,135.24",its donate from user with id = 928,514
929,f,929,f,"$9,075.50",its donate from user with id = 929,846
930,f,930,f,"$4,737.15",its donate from user with id = 930,484
931,f,931,f,"$1,503.83",its donate from user with id = 931,768
932,f,932,f,"$5,342.70",its donate from user with id = 932,660
933,f,933,f,"$2,830.03",its donate from user with id = 933,965
934,f,934,f,"$2,973.39",its donate from user with id = 934,507
935,f,935,f,"$1,041.19",its donate from user with id = 935,418
936,f,936,f,"$8,585.34",its donate from user with id = 936,620
937,f,937,f,"$3,367.66",its donate from user with id = 937,111
938,f,938,f,"$2,762.59",its donate from user with id = 938,456
939,f,939,f,"$6,553.71",its donate from user with id = 939,377
940,f,940,f,"$8,810.82",its donate from user with id = 940,242
941,f,941,f,"$4,591.21",its donate from user with id = 941,6
942,f,942,f,"$6,807.55",its donate from user with id = 942,34
943,f,943,f,$152.76,its donate from user with id = 943,364
944,f,944,f,"$6,510.24",its donate from user with id = 944,311
945,f,945,f,"$7,734.40",its donate from user with id = 945,569
946,f,946,f,"$7,826.87",its donate from user with id = 946,234
947,f,947,f,"$4,124.27",its donate from user with id = 947,741
948,f,948,f,$275.92,its donate from user with id = 948,744
949,f,949,f,"$4,899.71",its donate from user with id = 949,646
950,f,950,f,"$1,004.23",its donate from user with id = 950,970
951,f,951,f,$855.42,its donate from user with id = 951,984
952,f,952,f,"$9,244.61",its donate from user with id = 952,295
953,f,953,f,"$3,833.35",its donate from user with id = 953,979
954,f,954,f,$750.09,its donate from user with id = 954,77
955,f,955,f,"$6,243.92",its donate from user with id = 955,409
956,f,956,f,"$3,830.58",its donate from user with id = 956,1
957,f,957,f,$987.62,its donate from user with id = 957,158
958,f,958,f,"$3,494.69",its donate from user with id = 958,759
959,f,959,f,$944.65,its donate from user with id = 959,981
960,f,960,f,$201.73,its donate from user with id = 960,256
961,f,961,f,"$5,024.81",its donate from user with id = 961,100
962,f,962,f,"$8,423.79",its donate from user with id = 962,824
963,f,963,f,$997.16,its donate from user with id = 963,558
964,f,964,f,"$8,247.05",its donate from user with id = 964,816
965,f,965,f,"$4,666.19",its donate from user with id = 965,417
966,f,966,f,$379.48,its donate from user with id = 966,947
967,f,967,f,"$6,331.18",its donate from user with id = 967,419
968,f,968,f,"$9,517.53",its donate from user with id = 968,336
969,f,969,f,"$1,750.82",its donate from user with id = 969,197
970,f,970,f,"$1,549.76",its donate from user with id = 970,230
971,f,971,f,"$1,555.04",its donate from user with id = 971,244
